212F30	3007
213955	59A5
213956	598A
213957	5996
213958	59BE
213959	59BB
21395A	59AE
21395B	59D1
21395C	59B9
21395D	59C6
21395E	59D0
21395F	59D7
213960	59AF
213961	59D2
213962	59D3
213963	59CA
213965	59CB
213966	59D4
213967	59E3
213969	59FF
21396A	59D8
21396B	5A03
21396C	59E8
21396D	59E5
21396E	59EA
21396F	5A01
213970	59FB
213971	59E6
213972	59DA
213973	5A11
213974	5A18
213975	5A23
213976	5A1C
213977	5A13
213978	59EC
213979	5A20
21397A	5A1F
21397B	5A1B
21397C	5A0C
21397D	5A29
21397E	5A25
213A21	5A46
213A22	5A49
213A23	5A6A
213A24	5A36
213A25	5A4A
213A26	5A40
213A27	5A66
213A28	5A41
213A29	5A3C
213A2A	5A62
213A2B	5A5A
213A2C	5A77
213A2D	5A9A
213A2E	5A92
213A2F	5A7F
213A30	5ABC
213A31	5A9B
213A32	5ACC
213A33	5AC1
213A34	5AC9
213A35	5ABE
213A36	5ABD
213A37	5AB2
213A38	5AC2
213A39	5AB3
213A3A	5AE1
213A3B	5AD7
213A3C	5AD6
213A3D	5AE3
213A3E	5AE9
213A3F	5AD8
213A40	5AE6
213A41	5AFB
213A42	5B09
213A43	5B0B
213A44	5B0C
213A45	5AF5
213A46	5B34
213A47	5B1D
213A48	5B2A
213A49	5B24
213A4A	5B30
213A4B	5B38
213A4C	5B40
213A4D	5B50
213A4E	5B51
213A4F	5B53
213A50	5B54
213A51	5B55
213A52	5B57
213A53	5B58
213A54	5B5D
213A55	5B5C
213A57	5B5F
213A58	5B63
213A59	5B64
213A5A	5B69
213A5B	5B6B
213A5C	5B70
213A5D	5B73
213A5E	5B71
213A5F	5B75
213A60	5B78
213A61	5B7A
213A62	5B7D
213A63	5B7F
213A65	5B87
213A66	5B88
213A67	5B89
213A68	5B85
213A69	5B8C
213A6A	5B8B
213A6B	5B8F
213A6C	5B97
213A6D	5B9A
213A6E	5B9C
213A6F	5B98
213A70	5B99
213A71	5B9B
213A72	5BA5
213A73	5BA3
213A74	5BA6
213A75	5BA4
213A76	5BA2
213A77	5BB0
213A78	5BB8
213A7A	5BB5
213A7B	5BB4
213A7C	5BAE
213A7D	5BB9
213A7E	5BB3
213B21	5BC6
213B22	5BC7
213B23	5BC5
213B24	5BC4
213B25	5BC2
213B26	5BBF
213B27	5BCC
213B28	5BD2
213B29	5BD0
213B2A	5BD3
213B2B	5BE1
213B2C	5BE5
213B2D	5BE8
213B2E	5BE2
213B2F	5BE4
213B30	5BDE
213B31	5BE6
213B32	5BE7
213B33	5BDF
213B34	5BEE
213B35	5BEC
213B36	5BE9
213B37	5BEB
213B38	5BF5
213B39	5BF6
213B3A	5BF8
213B3B	5BFA
213B3C	5C01
213B3D	5C04
213B3E	5C09
213B3F	5C08
213B40	5C07
213B41	5C0A
213B42	5C0B
213B43	5C0D
213B44	5C0E
213B45	5C0F
213B46	5C11
213B47	5C16
213B48	5C1A
213B49	5C24
213B4A	5C2C
213B4B	5C31
213B4C	5C37
213B4D	5C38
213B4E	5C3A
213B4F	5C3C
213B50	5C40
213B51	5C41
213B52	5C3F
213B53	5C3E
213B54	5C46
213B55	5C45
213B56	5C48
213B57	5C4E
213B58	5C4B
213B59	5C4D
213B5A	5C55
213B5B	5C51
213B5C	5C50
213B5D	5C5B
213B5E	5C60
213B5F	5C5C
213B60	5C62
213B61	5C64
213B62	5C65
213B63	5C6C
213B64	5C6F
213B65	5C71
213B66	5C79
213B67	5C90
213B68	5C8C
213B69	5C91
213B6A	5C94
213B6B	5CB7
213B6C	5CB8
213B6E	5CA1
213B6F	5CAB
213B71	5CB1
213B72	5CD9
213B73	5D01
213B74	5CFD
213B75	5CED
213B76	5CFB
213B77	5CE8
213B78	5CF0
213B79	5CF6
213B7A	5CEA
213B7B	5D07
213B7C	5D06
213B7D	5D1B
213B7E	5D16
213C21	5D0E
213C22	5D11
213C23	5D22
213C24	5D29
213C25	5D14
213C26	5D19
213C27	5D4C
213C28	5D50
213C29	5D69
213C2A	5D84
213C2B	5D87
213C2C	5D9D
213C2D	5DBC
213C2E	5DBD
213C2F	5DBA
213C30	5DCD
213C31	5DD2
213C32	5DD4
213C33	5DD6
213C34	5DDD
213C35	5DDE
213C36	5DE2
213C37	5DE5
213C38	5DE8
213C39	5DE7
213C3A	5DE6
213C3B	5DEB
213C3C	5DEE
213C3D	5DF1
213C3E	5DF2
213C3F	5DF3
213C40	5DF4
213C41	5DF7
213C42	5DFD
213C43	5DFE
213C44	5E02
213C46	5E06
213C49	5E1A
213C4A	5E16
213C4B	5E15
213C4C	5E1B
213C4D	5E11
213C4E	5E1D
213C4F	5E25
213C51	5E2B
213C52	5E33
213C53	5E36
213C54	5E38
213C55	5E37
213C56	5E45
213C57	5E3D
213C58	5E40
213C59	5E4C
213C5A	5E5B
213C5B	5E54
213C5C	5E57
213C5D	5E55
213C5E	5E63
213C5F	5E62
213C60	5E5F
213C61	5E6B
213C63	5E73
213C65	5E74
213C68	5E7B
213C69	5E7C
213C6A	5E7D
213C6B	5E7E
213C6C	5E8F
213C6D	5E87
213C6E	5E8A
213C6F	5E9A
213C70	5E97
213C71	5E96
213C72	5E9C
213C73	5E95
213C74	5EA0
213C75	5EA6
213C76	5EAB
213C77	5EA7
213C78	5EAD
213C79	5EB7
213C7A	5EB8
213C7B	5EB6
213C7C	5EB5
213C7D	5EC2
213C7E	5EC1
213D21	5EBE
213D22	5ECA
213D23	5EC9
213D24	5EC8
213D25	5ED3
213D26	5ED6
213D27	5EE2
213D28	5EDA
213D29	5EDD
213D2A	5EE3
213D2B	5EDF
213D2C	5EE0
213D2D	9F90
213D2E	5EEC
213D2F	5EF3
213D30	5EF7
213D32	5EF6
213D33	5EFA
213D34	5EFF
213D36	5F04
213D37	5F08
213D38	5F0A
213D39	5F0F
213D3A	5F12
213D3B	5F13
213D3C	5F15
213D3D	5F14
213D3E	5F18
213D3F	5F17
213D40	5F1B
213D41	5F1F
213D42	5F26
213D43	5F27
213D44	5F29
213D45	5F2D
213D46	5F31
213D47	5F35
213D48	5F37
213D49	5F3C
213D4A	5F46
213D4B	5F48
213D4C	5F4C
213D4D	5F4E
213D4E	5F57
213D4F	5F59
213D50	5F5D
213D51	5F62
213D52	5F64
